tarih,ürün_kodu,ürün_adi,kategori,fiyat,adet,toplam_satis,musteri_id
02/07/2023,P032,Mouse,Elektronik,1207.3,13,15694.9,9225
11/02/2024,P011,Kalem,Kırtasiye,237.14,16,3794.24,3955
06/03/2023,P024,Bilgisayar,Elektronik,1024.29,9,9218.61,2367
11/04/2024,P063,Klima,Elektronik,1477.88,9,7520.75939059395,2869
08/01/2024,P063,Klima,Elektronik,949.43,19,18039.17,9724
20/06/2023,P037,Fırın,Ev Aletleri,266.4,10,2664.0,7948
22/08/2023,P082,Defter,Kırtasiye,1290.3,8,10322.4,4184
11/05/2024,P063,Klima,Elektronik,627.78,17,10672.26,1522
26/07/2024,P010,Çanta,Giyim,749.39,8,5995.12,5504
15/03/2023,P082,Defter,Kırtasiye,193.65,16,3098.4,1722
26/04/2023,P037,Fırın,Ev Aletleri,362.96,15,5444.4,2678
19/05/2024,P011,Kalem,Kırtasiye,577.19,16,9235.04,9408
20/03/2024,P024,Bilgisayar,Elektronik,1302.35,7,9116.45,2863
01/09/2023,P063,Klima,Elektronik,270.14,13,3511.82,6923
11/03/2023,P010,Çanta,Giyim,990.12,10,9901.2,4678
08/06/2024,P082,Defter,Kırtasiye,1221.37,6,7520.75939059395,4666
27/12/2023,P097,Su Şişesi,Mutfak Ürünleri,976.99,19,18562.81,4778
25/10/2023,P011,Kalem,Kırtasiye,1245.33,18,22415.94,2043
01/05/2024,P082,Defter,Kırtasiye,682.11,9,6138.99,6732
21/09/2024,P082,Defter,Kırtasiye,1117.5,1,1117.5,7103
03/02/2023,P097,Su Şişesi,Mutfak Ürünleri,455.04,4,1820.16,1361
27/10/2023,P010,Çanta,Giyim,1207.15,10,12071.5,8626
03/11/2023,P097,Su Şişesi,Mutfak Ürünleri,324.84,2,649.68,9754
16/09/2024,P032,Mouse,Elektronik,926.76,3,2780.28,4046
14/10/2024,P097,Su Şişesi,Mutfak Ürünleri,921.73,12,11060.76,3883
25/12/2023,P087,Kulaklık,Elektronik,1074.51,3,3223.53,2144
30/05/2023,P024,Bilgisayar,Elektronik,78.34,7,548.38,3393
31/03/2024,P082,Defter,Kırtasiye,420.9,3,7520.75939059395,7110
01/02/2023,P011,Kalem,Kırtasiye,740.2,8,5921.6,9977
21/11/2023,P087,Kulaklık,Elektronik,1265.21,18,22773.78,2161
20/05/2023,P087,Kulaklık,Elektronik,1487.71,14,20827.94,5038
08/11/2023,P063,Klima,Elektronik,1142.15,3,7520.75939059395,9142
08/05/2024,P024,Bilgisayar,Elektronik,839.93,10,8399.3,8147
03/10/2024,P082,Defter,Kırtasiye,805.94,5,4029.7,8258
21/08/2023,P018,Telefon,Elektronik,682.65,14,9557.1,9548
18/02/2024,P097,Su Şişesi,Mutfak Ürünleri,489.8,7,3428.6,2822
03/03/2024,P037,Fırın,Ev Aletleri,751.52,18,13527.36,9665
28/11/2022,P018,Telefon,Elektronik,1272.82,15,19092.3,5689
28/09/2023,P011,Kalem,Kırtasiye,916.33,13,11912.29,1592
15/05/2023,P010,Çanta,Giyim,1145.39,4,4581.56,7751
24/05/2024,P010,Çanta,Giyim,352.22,18,7520.75939059395,7099
18/06/2023,P097,Su Şişesi,Mutfak Ürünleri,444.14,6,2664.84,1496
22/03/2024,P024,Bilgisayar,Elektronik,1081.54,1,1081.54,2618
18/04/2024,P063,Klima,Elektronik,527.11,16,8433.76,7734
20/01/2023,P024,Bilgisayar,Elektronik,1187.65,5,5938.25,9363
08/09/2024,P082,Defter,Kırtasiye,703.97,3,2111.91,3933
08/05/2023,P037,Fırın,Ev Aletleri,976.12,5,4880.6,7704
18/02/2024,P032,Mouse,Elektronik,1234.59,13,7520.75939059395,4787
21/11/2022,P032,Mouse,Elektronik,946.98,5,4734.9,1752
08/08/2023,P037,Fırın,Ev Aletleri,1111.47,10,11114.7,9608
27/03/2023,P018,Telefon,Elektronik,1215.91,7,8511.37,5355
22/04/2024,P082,Defter,Kırtasiye,703.04,9,6327.36,9023
01/08/2023,P032,Mouse,Elektronik,244.96,9,2204.64,5903
12/09/2023,P082,Defter,Kırtasiye,239.63,1,239.63,2829
19/04/2023,P011,Kalem,Kırtasiye,317.39,1,317.39,2585
09/07/2024,P082,Defter,Kırtasiye,576.29,11,6339.19,5447
31/12/2023,P018,Telefon,Elektronik,745.74,5,3728.7,7228
22/02/2023,P082,Defter,Kırtasiye,984.53,15,14767.95,6465
27/11/2023,P082,Defter,Kırtasiye,728.85,8,5830.8,6967
02/06/2024,P037,Fırın,Ev Aletleri,1337.33,4,5349.32,7483
23/08/2024,P063,Klima,Elektronik,1305.45,11,14359.95,4871
27/10/2023,P087,Kulaklık,Elektronik,512.56,19,9738.64,1605
01/12/2022,P018,Telefon,Elektronik,721.03,13,9373.39,8347
06/03/2023,P037,Fırın,Ev Aletleri,1255.55,12,15066.6,3716
22/07/2023,P037,Fırın,Ev Aletleri,890.04,1,890.04,3354
31/12/2022,P010,Çanta,Giyim,1379.66,2,2759.32,7465
19/11/2023,P097,Su Şişesi,Mutfak Ürünleri,1244.44,5,7520.75939059395,1521
16/11/2023,P032,Mouse,Elektronik,1054.7,15,15820.5,4625
26/02/2023,P010,Çanta,Giyim,1023.79,16,16380.64,3558
09/09/2023,P032,Mouse,Elektronik,1364.97,8,10919.76,9825
24/02/2024,P018,Telefon,Elektronik,1037.07,2,2074.14,2488
30/07/2024,P032,Mouse,Elektronik,1077.5,17,18317.5,1320
26/07/2024,P024,Bilgisayar,Elektronik,419.95,12,5039.4,5532
01/03/2024,P082,Defter,Kırtasiye,157.6,17,2679.2,8228
27/11/2023,P032,Mouse,Elektronik,737.35,18,13272.3,1176
08/05/2023,P010,Çanta,Giyim,683.74,11,7521.14,2851
28/07/2023,P082,Defter,Kırtasiye,1201.22,11,13213.42,4659
05/09/2023,P032,Mouse,Elektronik,1445.68,8,11565.44,7194
03/02/2023,P063,Klima,Elektronik,962.52,13,12512.76,4437
12/08/2024,P087,Kulaklık,Elektronik,337.3,8,2698.4,7497
19/01/2023,P024,Bilgisayar,Elektronik,87.22,16,1395.52,2132
17/06/2023,P087,Kulaklık,Elektronik,301.99,14,7520.75939059395,9526
16/07/2023,P087,Kulaklık,Elektronik,1364.87,6,7520.75939059395,8900
10/01/2024,P097,Su Şişesi,Mutfak Ürünleri,898.53,18,16173.54,3902
26/04/2024,P087,Kulaklık,Elektronik,1056.9,16,16910.4,3455
10/06/2023,P063,Klima,Elektronik,628.44,8,5027.52,4002
12/01/2024,P087,Kulaklık,Elektronik,421.58,18,7588.44,3819
11/06/2024,P037,Fırın,Ev Aletleri,671.85,7,4702.95,3515
28/06/2024,P063,Klima,Elektronik,48.36,3,7520.75939059395,3142
06/12/2023,P024,Bilgisayar,Elektronik,305.07,1,305.07,2865
16/02/2024,P063,Klima,Elektronik,1186.05,11,13046.55,2325
03/04/2024,P087,Kulaklık,Elektronik,747.76,6,4486.56,6118
09/01/2023,P082,Defter,Kırtasiye,431.57,10,4315.7,9871
27/01/2024,P082,Defter,Kırtasiye,320.73,10,3207.3,4877
11/08/2023,P032,Mouse,Elektronik,377.77,18,6799.86,1304
28/01/2023,P087,Kulaklık,Elektronik,619.29,17,10527.93,2458
13/09/2024,P032,Mouse,Elektronik,130.55,9,1174.95,2402
15/10/2024,P011,Kalem,Kırtasiye,1403.81,5,7520.75939059395,5809
27/04/2024,P010,Çanta,Giyim,1007.39,17,17125.63,4441
28/11/2023,P032,Mouse,Elektronik,551.17,8,4409.36,3063
12/03/2024,P037,Fırın,Ev Aletleri,855.19,12,10262.28,8844
08/08/2023,P063,Klima,Elektronik,24.23,3,72.69,5596
31/01/2023,P037,Fırın,Ev Aletleri,251.49,4,1005.96,2452
08/01/2024,P097,Su Şişesi,Mutfak Ürünleri,517.5,13,6727.5,1307
03/03/2024,P037,Fırın,Ev Aletleri,547.24,4,2188.96,5863
01/12/2022,P018,Telefon,Elektronik,707.89,15,10618.35,9485
18/12/2023,P037,Fırın,Ev Aletleri,454.66,15,7520.75939059395,9002
19/02/2024,P063,Klima,Elektronik,1480.54,7,10363.78,4855
24/12/2023,P063,Klima,Elektronik,530.16,14,7422.24,3358
19/09/2023,P087,Kulaklık,Elektronik,1137.99,1,1137.99,6447
16/08/2023,P011,Kalem,Kırtasiye,1269.85,13,16508.05,7751
03/12/2023,P032,Mouse,Elektronik,782.3,9,7040.7,5798
06/12/2023,P063,Klima,Elektronik,551.27,8,4410.16,3684
01/01/2023,P032,Mouse,Elektronik,889.29,2,1778.58,4414
23/08/2023,P097,Su Şişesi,Mutfak Ürünleri,1064.36,5,7520.75939059395,8411
24/02/2023,P032,Mouse,Elektronik,1204.46,1,1204.46,2662
23/01/2024,P010,Çanta,Giyim,300.98,2,601.96,3748
21/10/2023,P018,Telefon,Elektronik,901.09,8,7208.72,5765
03/03/2024,P018,Telefon,Elektronik,470.19,14,6582.66,1577
22/01/2024,P097,Su Şişesi,Mutfak Ürünleri,100.3,15,1504.5,3323
04/10/2024,P037,Fırın,Ev Aletleri,516.2,5,2581.0,4030
27/05/2023,P037,Fırın,Ev Aletleri,320.56,3,961.68,5486
