drugName,condition,review,rating,date,class
Levora,birth control,"""i was on this pill for almost two years. it does work as far as not getting pregnant however my experience at first was it didn't make a huge difference then 6 or 7 months into it my sex drive went down, along with being very very dry, my moodiness increased drastically. i would cry one second and then get angry with my husband over anything and everything. my skin has gotten a lot worse, i broke out in places i never had in the last week. so now i am on yaz.""",2,"April 16, 2011",-1
Microgestin Fe 1 / 20,acne,"""so i was on ginanvi for about 3 months before i switched over to this pill due to the high cost of ginavi (i don't have insurance). ginanvi had cleared up my acne in the short time i used and i was hoping this birth control would not mess that up. i was wrong. after 2-3 months of using this pill my skin went crazy with horrible breakouts. now, 9 months later i still have horrible acne. if you want a pill that helps with acne this is not it. it also made my period ""weird"". i would have little to no period one month and a heavy one the next . the month that i had a heavier flow my boobs would hurt a lot. i also noticed that at the beginning of taking it , i would be moody and extremely irritable all the time . it's time for me to switch.""",3,"June 22, 2017",-1
Aubra,birth control,"""i'm absolutely done taking this horrible birth control! i've  been taking aubra for a month and a half... i'm moody, irritable, depressed, hungry, bitchy... vaginal discharge has changed  (gross), my urine smells, my acne has gotten so out of hand and it's stubborn. cystic acne all around my mouth, jawline, chin and neck. after doing some research online, i discovered i'm not the only one. birth control is different for everyone but this is going in the trash... i will not be taking this any longer. it also kills your sex drive... as for the difference in bleeding, i wouldn't know. i started this pill on day 1 of menstrual cycle last month and haven't had a period yet... have had plenty of headaches though! """,1,"December 13, 2015",-1
Microgestin Fe 1.5 / 30,birth control,"""about two months ago i had to switch from lolestrin fe to microgestin due to my insurance and pharmacy. since starting microgestin i've noticed insane bloating and nausea and weird discharge. while on lolestrin, my periods consisted of spotting and average side effects, nothing too serious, but after one month of micro i got my period and it was heavy and the cramping was so painful i had to leave my class. i've also noticed i've developed bad depression and my mood swings are very intense. my anxiety is bad and my sex drive is very low if not nonexistent anymore. it helped with my acne but i'm a lot more paranoid about getting pregnant than i was on lolestrin. i'm going to be talking to my doctor about possibly getting the shot.""",1,"October 31, 2016",-1
Benzoyl peroxide / clindamycin,acne,"""my gp had prescribed this to me at my requests for something to deal with my acne. i used this medication for about a month or a little longer. this medication dries out my face something terrible. i had to slather moisturizer on my face, which was probably counterintuitive. the medication worked well at drying out existing acne on my face but did nothing to prevent new acne. every day i would wake up to new zits. i ended up going to a dermatologist and had something else prescribed. 

also, with this medication containing benzoyl peroxide it stains your sheets very badly (thankfully, i already had a pillow case that resisted staining, same can't be said for the sheets).""",4,"January 26, 2017",0
Effexor XR,anxiety,"""i was prescribed this for onset of anxiety and possible hormonal mood swings. i was not told by my doctor how it would make me feel or how hard coming off of it would be. i took one 37.5 mg capsule and was horrified that i was given this. i woke up at 2am with an anxiety attack for about the first hour. it then went into being wired, nauseous, shakey, weak, chills and sweating. 11 years ago i quit using meth and this was awful that i felt like i was on it again. i laid in bed the entire day, wide awake and ill. i never took another dose! and even one pill took at least another full day to leave my system. my nervous system is obviously sensitive and i could not handle this medication at all.""",2,"August 27, 2017",-1
Zoloft,depression,"""zoloft did not help me at all.  i was on it for about 3 months, worked up to 100mg.  i was tired and hungry all the time.  i gained 20 lbs and slept all day. i was a complete zombie.  definitely made my depression worse.""",1,"January 14, 2013",-1
Ethinyl estradiol / norethindrone,birth control,"""i was started on gildess 1/20 but then was switched to blisovi as gildess was recalled. i always had the clearest skin and now that i've been taking blisovi i'll have random break outs and i've gained some weight as well. i do not recommend. i can't wait to talk to my gynecologist to switch asap.""",3,"February 7, 2017",-1
Effexor XR,depression,"""sadly only lasted 5 days on effexor xr. the side effects from the 75mg dose was unlike anything i have experienced before. within 10 hours of the first dose i had severe anxiety - something i had never experienced before. within hours of second dose the extreme nausea came on. by day 3 i was pratically bed-ridden in cold sweats and feeling completely ""out of it"" . i persevered hoping the effects would begin to subside but by the 5th day i had severe nausea, couldn't get out of bed from feeling so sick, horrible tinnitus (ringing in the ears) and felt spaced out to the point that i began to wonder if i would ever feel ""normal"" again. advised by gp to cease immediately on hearing my side effects.""",1,"April 24, 2016",-1
ParaGard,birth control,"""i had paragard for a year and a half and had cramping the whole time with terrible long heavy periods.  the last couple months i had it i was in so much pain i could hardly walk. went to my doc and she said nothing seemed wrong.  then the next day i went to the er and had it removed. it had slipped a little and was causing a lot of discomfort. i will never get an iud again. i'm lucky i didn't need surgery like some women""",1,"January 29, 2016",-1
Venlafaxine,depression,"""i took effexor for the first and last time yesterday around 7:41 am . at first i couldn't feel my arms or face and then it felt like fire works were going off in my head . i yawned all day long and each time i did i felt like my own tongue was gagging me . the worst of it was around 3:45 am i woke up shaking uncontrollably falling over couldn't see straight it felt like i was being electrocuted it was to the point i either wanted to be knocked out or die . my husband found me shaking and rocking back and forth in our living room floor . this drug for me personally was horrific .""",1,"October 12, 2017",-1
BuSpar,anxiety,"""i did not like this medication. for anxiety, i have also tried hydroxyzine (atarax). i guess this is just my personal body chemistry but i actually prefer atarax to this unlike most people. this made me very lightheaded and dizzy. i can't exactly remember the effect it had on anxiety, i think it may have helped a little.""",4,"September 13, 2015",0
Bupropion,depression,"""started taking it and i slept well at night and awoke early around 5 to start my day happily. but come 8 am and i am drowsy and needed to take already two hrs nap. awake and resume
my day with not much difficulties. than st 2 pm again i needed  a nap? so how was i gonna make it to work and my appointments too ? i went cold turkey. felt much better after that. only to crash again. i did try other anti depressants including pristique. but i suffered with insomnia with these meds.  i know i need to start again but so confused if i should resume welbutrin""",4,"January 13, 2017",0
Yaz,birth control,"""switched from my old bc to yaz and immediately felt a difference the first few days i was so  emotional. very significantly so. by the end of the first week i was full on depressed and it continued on to the second week. everything triggered me. :(  but i like the sticker on the top with the days.""",2,"December 4, 2016",-1
Nexplanon,birth control,"""i had the implant placed a little over 1 month ago. after about a week i started breaking out with acne. i feel extremely irritable, emotional, and have extreme insomnia. i keep getting the chills but it's been 80 degrees outside for weeks. i'm a fit person, but i've started having unexplained joint pain. i'm so exhausted.. i was really hoping this birth control method was going to be the best choice for me. i never remembered to take the pill, i had frequent infections with the iud because my body didn't like the strings/foreign body in there. i'm hoping these side effects will gradually lessen or go away because it's really effecting my quality of life. i'm going to try to give it a few more months..""",3,"July 4, 2017",-1
